Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Title,Artist_clean,Title_clean
Frank Ocean - In My Room,6,,82,,881487,4527986,Frank Ocean,In My Room,frank ocean,in my room
Travis Scott - 2000 EXCURSION,2,,16,,3111470,4518204,Travis Scott,2000 EXCURSION,travis scott,2000 excursion
NF - CLOUDS,5,,62,,1253513,4517584,NF,CLOUDS,nf,clouds
Lil Peep - Runaway,6,,82,,1148060,4516814,Lil Peep,Runaway,lil peep,runaway
Chris Brown - Fine By Me,17,,127,,340469,4514035,Chris Brown,Fine By Me,chris brown,fine by me
The Weeknd - The Hills - Remix,18,,124,,294122,4511639,The Weeknd,The Hills - Remix,the weeknd,the hills - remix
Kanye West - Ye vs. the People (starring TI as the People),6,,95,,847589,4511152,Kanye West,Ye vs. the People (starring TI as the People),kanye west,ye vs. the people (starring ti as the people)
Justin Bieber - SWAG,2,,33,,2784465,4509449,Justin Bieber,SWAG,justin bieber,swag
Samir & Viktor - Groupie,23,,104,,281506,4509164,Samir & Viktor,Groupie,samir & viktor,groupie
Drake - Slap The City,2,,41,,2938511,4506419,Drake,Slap The City,drake,slap the city
The Chainsmokers - It Won't Kill Ya,7,,72,,970589,4506381,The Chainsmokers,It Won't Kill Ya,the chainsmokers,it won't kill ya
Samra - Weiss,6,,141,,817400,4504990,Samra,Weiss,samra,weiss
Ed Sheeran - Old Phone,3,,54,,2022743,4503751,Ed Sheeran,Old Phone,ed sheeran,old phone
Lil Baby - Errbody,5,,116,,1185798,4503726,Lil Baby,Errbody,lil baby,errbody
Noah Kahan - All Them Horses,3,,106,,1792922,4501106,Noah Kahan,All Them Horses,noah kahan,all them horses
Kanye West - I Love Kanye,12,,83,,536829,4497760,Kanye West,I Love Kanye,kanye west,i love kanye
Kanye West - No More Parties In LA,13,,103,,421388,4491882,Kanye West,No More Parties In LA,kanye west,no more parties in la
ROSALÍA - Sauvignon Blanc,3,,56,,2033686,4489182,ROSALÍA,Sauvignon Blanc,rosalía,sauvignon blanc
Taylor Swift - Tell Me Why (Taylor’s Version),4,,42,,1877863,4483647,Taylor Swift,Tell Me Why (Taylor’s Version),taylor swift,tell me why (taylor’s version)
Migos - Avalanche,4,,44,,1825571,4480048,Migos,Avalanche,migos,avalanche
The xx - Say Something Loving,8,,65,,860735,4478937,The xx,Say Something Loving,the xx,say something loving
"Tyler, The Creator - RISE!",4,,54,,1867554,4475107,"Tyler, The Creator",RISE!,"tyler, the creator",rise!
Harry Styles - Ever Since New York,7,,69,,1135944,4472115,Harry Styles,Ever Since New York,harry styles,ever since new york
Boomdabash - Karaoke,7,,162,,698704,4467903,Boomdabash,Karaoke,boomdabash,karaoke
G-Eazy - Hate The Way,6,,99,,1064253,4465846,G-Eazy,Hate The Way,g-eazy,hate the way
Anne-Marie - Don't Play,6,,128,,948441,4462683,Anne-Marie,Don't Play,anne-marie,don't play
Lana Del Rey - Venice Bitch,6,,108,,1009725,4461033,Lana Del Rey,Venice Bitch,lana del rey,venice bitch
BTS - dimple,7,,79,,865109,4460387,BTS,dimple,bts,dimple
Justin Bieber - SOULFUL,2,,30,,2852655,4458174,Justin Bieber,SOULFUL,justin bieber,soulful
Jin - Super Tuna,3,,90,,1787493,4455597,Jin,Super Tuna,jin,super tuna
Lil Wayne - Mess,5,,66,,1464179,4454553,Lil Wayne,Mess,lil wayne,mess
TOOL - Fear Inoculum,5,,85,,1085718,4453735,TOOL,Fear Inoculum,tool,fear inoculum
Taylor Swift - You’re Not Sorry (Taylor’s Version),4,,44,,1847591,4451002,Taylor Swift,You’re Not Sorry (Taylor’s Version),taylor swift,you’re not sorry (taylor’s version)
Axel Wikner - Det draaar,20,,106,,308209,4450955,Axel Wikner,Det draaar,axel wikner,det draaar
Khalid - New Normal,5,,74,,1265912,4448404,Khalid,New Normal,khalid,new normal
Trippie Redd - Love Scars 3,6,,100,,1077444,4447831,Trippie Redd,Love Scars 3,trippie redd,love scars 3
Matheus & Kauan - Não Vitalício (Nunca Mais) - Ao Vivo,4,,177,,1161083,4444902,Matheus & Kauan,Não Vitalício (Nunca Mais) - Ao Vivo,matheus & kauan,não vitalício (nunca mais) - ao vivo
Douglas & Vinicius - Figurinha - Ao Vivo,6,,125,,865531,4439902,Douglas & Vinicius,Figurinha - Ao Vivo,douglas & vinicius,figurinha - ao vivo
Alonzo - TOUT VA BIEN,5,,155,,939625,4439084,Alonzo,TOUT VA BIEN,alonzo,tout va bien
Big One - En la Intimidad,4,,156,,1216966,4437098,Big One,En la Intimidad,big one,en la intimidad
Pop Smoke - Coupe,4,,49,,1689502,4436563,Pop Smoke,Coupe,pop smoke,coupe
Byron Bahamonde - Fin de semana,3,,46,,2031004,4434309,Byron Bahamonde,Fin de semana,byron bahamonde,fin de semana
BERKO CHAMP - Daylight,2,,33,,2310357,4434294,BERKO CHAMP,Daylight,berko champ,daylight
Junior H - $AD BOYZ II,3,,62,,2178125,4431688,Junior H,$AD BOYZ II,junior h,$ad boyz ii
Lady Gaga - 1000 Doves,4,,49,,1856850,4430806,Lady Gaga,1000 Doves,lady gaga,1000 doves
A$AP Rocky - ORDER OF PROTECTION,2,,20,,3030887,4424829,A$AP Rocky,ORDER OF PROTECTION,a$ap rocky,order of protection
Billie Eilish - my boy,7,,186,,652838,4424727,Billie Eilish,my boy,billie eilish,my boy
Future - All Bad,4,,52,,1520703,4424197,Future,All Bad,future,all bad
2 Chainz - Whip,5,,72,,1230980,4421950,2 Chainz,Whip,2 chainz,whip
Miley Cyrus - Rockin' Around The Christmas Tree - Recorded at Spotify Studios NYC,4,,82,,1436173,4416778,Miley Cyrus,Rockin' Around The Christmas Tree - Recorded at Spotify Studios NYC,miley cyrus,rockin' around the christmas tree - recorded at spotify studios nyc
Dean Martin - A Marshmallow World,2,,106,,2215817,4414662,Dean Martin,A Marshmallow World,dean martin,a marshmallow world
XXXTENTACION - love yourself (interlude),6,,85,,1051803,4409147,XXXTENTACION,love yourself (interlude),xxxtentacion,love yourself (interlude)
Norlie & KKV - Ingen annan rör mig som du,23,,122,,249149,4408558,Norlie & KKV,Ingen annan rör mig som du,norlie & kkv,ingen annan rör mig som du
P!nk - Revenge,7,,79,,953001,4405934,P!nk,Revenge,p!nk,revenge
Khalid - Intro,5,,70,,1409345,4399664,Khalid,Intro,khalid,intro
Rogerinho - Tchuco Nela,5,,128,,989053,4396970,Rogerinho,Tchuco Nela,rogerinho,tchuco nela
BTS - A Brand New Day (BTS World Original Soundtrack) [Pt. 2],5,,52,,1451505,4383131,BTS,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],bts,a brand new day (bts world original soundtrack) [pt. 2]
21 Savage - Snitches & Rats,4,,50,,1846712,4381373,21 Savage,Snitches & Rats,21 savage,snitches & rats
21 Savage - My Dawg,4,,52,,1819092,4380823,21 Savage,My Dawg,21 savage,my dawg
sangiovanni - farfalle,5,,119,,913391,4376187,sangiovanni,farfalle,sangiovanni,farfalle
M.O - Who Do You Think Of?,13,,105,,518756,4375229,M.O,Who Do You Think Of?,m.o,who do you think of?
My Chemical Romance - The Foundations of Decay,3,,46,,2415534,4371874,My Chemical Romance,The Foundations of Decay,my chemical romance,the foundations of decay
Carpenters - Merry Christmas Darling - Album Version/Remix,7,,111,,1005214,4369755,Carpenters,Merry Christmas Darling - Album Version/Remix,carpenters,merry christmas darling - album version/remix
Kanye West - I CAN’T WAIT,3,,110,,1567234,4368362,Kanye West,I CAN’T WAIT,kanye west,i can’t wait
Tyga - MAMACITA,6,,138,,817537,4365754,Tyga,MAMACITA,tyga,mamacita
Drake - Cheetah Print,2,,48,,2776212,4357418,Drake,Cheetah Print,drake,cheetah print
Twenty One Pilots - Levitate,6,,91,,1063270,4355885,Twenty One Pilots,Levitate,twenty one pilots,levitate
"Trey Songz - Touchin, Lovin",27,,115,,187255,4348661,Trey Songz,"Touchin, Lovin",trey songz,"touchin, lovin"
João Gomes - Dengo,5,,163,,905352,4346471,João Gomes,Dengo,joão gomes,dengo
A$AP Rocky - Fukk Sleep,5,,44,,1509193,4342652,A$AP Rocky,Fukk Sleep,a$ap rocky,fukk sleep
Playboi Carti - DIS 1 GOT IT,2,,60,,2634519,4341881,Playboi Carti,DIS 1 GOT IT,playboi carti,dis 1 got it
Joji - Tick Tock,5,,81,,1203530,4341241,Joji,Tick Tock,joji,tick tock
Eladio Carrion - Mbappe,4,,98,,1348944,4340466,Eladio Carrion,Mbappe,eladio carrion,mbappe
Gunna - Speed It Up,6,,135,,888679,4340420,Gunna,Speed It Up,gunna,speed it up
Quevedo - LA ÚLTIMA,3,,101,,1604896,4339226,Quevedo,LA ÚLTIMA,quevedo,la última
Drake - High Fives,2,,46,,2814318,4337435,Drake,High Fives,drake,high fives
Calvin Harris - Cash Out,7,,58,,1108289,4337307,Calvin Harris,Cash Out,calvin harris,cash out
Imagine Dragons - It's Time,32,,165,,144340,4336014,Imagine Dragons,It's Time,imagine dragons,it's time
Future - LOVE YOU BETTER,4,,51,,1660808,4334627,Future,LOVE YOU BETTER,future,love you better
Kid Ink - Body Language,31,,163,,179099,4331124,Kid Ink,Body Language,kid ink,body language
Nicki Minaj - Last Time I Saw You,3,,52,,1951176,4326316,Nicki Minaj,Last Time I Saw You,nicki minaj,last time i saw you
Stray Kids - MEGAVERSE,3,,47,,1972858,4325327,Stray Kids,MEGAVERSE,stray kids,megaverse
Luísa Sonza - penhasco.,5,,113,,1000673,4313628,Luísa Sonza,penhasco.,luísa sonza,penhasco.
The Chainsmokers - Young,7,,88,,855160,4312280,The Chainsmokers,Young,the chainsmokers,young
Bad Bunny - Dime Si Te Acuerdas,7,,144,,683313,4311972,Bad Bunny,Dime Si Te Acuerdas,bad bunny,dime si te acuerdas
JENNIE - start a war,3,,99,,1763948,4310133,JENNIE,start a war,jennie,start a war
Kanye West - Freestyle 4,12,,99,,459580,4307920,Kanye West,Freestyle 4,kanye west,freestyle 4
Lil Wayne - Used 2,5,,72,,1419862,4304865,Lil Wayne,Used 2,lil wayne,used 2
Migos - Emoji A Chain,5,,59,,1441288,4304652,Migos,Emoji A Chain,migos,emoji a chain
Future - Jumpin on a Jet,5,,75,,1168663,4303359,Future,Jumpin on a Jet,future,jumpin on a jet
Lil Baby - Voice of the Heroes,4,,51,,1647307,4296558,Lil Baby,Voice of the Heroes,lil baby,voice of the heroes
Radiohead - Burn the Witch,10,,64,,711115,4288236,Radiohead,Burn the Witch,radiohead,burn the witch
KC Rebell - valla nein!,6,,81,,1047843,4285852,KC Rebell,valla nein!,kc rebell,valla nein!
BTS - Your eyes tell,5,,89,,1149240,4285162,BTS,Your eyes tell,bts,your eyes tell
Young Thug - Hop Off A Jet,5,,124,,1005068,4280881,Young Thug,Hop Off A Jet,young thug,hop off a jet
JENNIE - Damn Right,3,,79,,1886737,4279627,JENNIE,Damn Right,jennie,damn right
Jordan Davis - O Come All Ye Faithful - Spotify Singles Holiday,2,,97,,2317064,4273672,Jordan Davis,O Come All Ye Faithful - Spotify Singles Holiday,jordan davis,o come all ye faithful - spotify singles holiday
Samra - Marlboro Rot,6,,104,,983459,4270766,Samra,Marlboro Rot,samra,marlboro rot
Summer Walker - Come Thru,6,,109,,933274,4266434,Summer Walker,Come Thru,summer walker,come thru
Bruno Mars - 777,4,,87,,1531461,4255421,Bruno Mars,777,bruno mars,777
BTS - Heartbeat (BTS World Original Soundtrack),6,,143,,807015,4251361,BTS,Heartbeat (BTS World Original Soundtrack),bts,heartbeat (bts world original soundtrack)
Don McLean - American Pie,3,,59,,1802366,4247456,Don McLean,American Pie,don mclean,american pie
Andrew Gold - The Addams Family,2,,44,,2338378,4242011,Andrew Gold,The Addams Family,andrew gold,the addams family
Drake - No Face,3,,118,,1476760,4239788,Drake,No Face,drake,no face
21 Savage - Brand New Draco,4,,60,,1698056,4236967,21 Savage,Brand New Draco,21 savage,brand new draco
Sfera Ebbasta - Sciroppo,7,,153,,676740,4234732,Sfera Ebbasta,Sciroppo,sfera ebbasta,sciroppo
Taylor Swift - That’s When,4,,60,,1630024,4232498,Taylor Swift,That’s When,taylor swift,that’s when
Justin Bieber - DADZ LOVE,2,,39,,2590635,4216475,Justin Bieber,DADZ LOVE,justin bieber,dadz love
Future - TEFLON DON,2,,25,,2799165,4212583,Future,TEFLON DON,future,teflon don
Luny Tunes - Mayor Que Yo 3,17,,153,,276391,4211340,Luny Tunes,Mayor Que Yo 3,luny tunes,mayor que yo 3
Dalex - Mejor,6,,180,,752213,4207406,Dalex,Mejor,dalex,mejor
alyona alyona - Teresa & Maria,3,,116,,1443699,4206626,alyona alyona,Teresa & Maria,alyona alyona,teresa & maria
David Bowie - Space Oddity - 2009 Remastered Version,7,,30,,1091030,4206413,David Bowie,Space Oddity - 2009 Remastered Version,david bowie,space oddity - 2009 remastered version
Pop Smoke - Manslaughter,4,,43,,1820373,4205266,Pop Smoke,Manslaughter,pop smoke,manslaughter
Bushido - Ronin,5,,57,,1326935,4204017,Bushido,Ronin,bushido,ronin
Chance the Rapper - 65th & Ingleside,6,,85,,983305,4203314,Chance the Rapper,65th & Ingleside,chance the rapper,65th & ingleside
Aretha Franklin - Respect,4,,47,,1460845,4194550,Aretha Franklin,Respect,aretha franklin,respect
J Balvin - ODIO,5,,72,,1298559,4192699,J Balvin,ODIO,j balvin,odio
"Nina Nesbitt - Oh Holy Night - Recorded at Metropolis Studios, London",4,,112,,1182345,4192325,Nina Nesbitt,"Oh Holy Night - Recorded at Metropolis Studios, London",nina nesbitt,"oh holy night - recorded at metropolis studios, london"
Wiz Khalifa - Go Hard or Go Home,22,,137,,223557,4192145,Wiz Khalifa,Go Hard or Go Home,wiz khalifa,go hard or go home
Twenty One Pilots - Drum Show,3,,80,,1568304,4189419,Twenty One Pilots,Drum Show,twenty one pilots,drum show
G-Eazy - I Wanna Rock,5,,59,,1239188,4185875,G-Eazy,I Wanna Rock,g-eazy,i wanna rock
Kendrick Lamar - These Walls,7,,19,,821982,4185613,Kendrick Lamar,These Walls,kendrick lamar,these walls
Playboi Carti - SOUTH ATLANTA BABY,2,,61,,2560793,4184975,Playboi Carti,SOUTH ATLANTA BABY,playboi carti,south atlanta baby
Rex Orange County - AMAZING,5,,173,,859197,4184609,Rex Orange County,AMAZING,rex orange county,amazing
j-hope - Chicken Noodle Soup,5,,92,,1063286,4184306,j-hope,Chicken Noodle Soup,j-hope,chicken noodle soup
Bas - The Jackie,5,,78,,1202684,4182508,Bas,The Jackie,bas,the jackie
Don Toliver - What You Need,5,,97,,1073181,4182378,Don Toliver,What You Need,don toliver,what you need
Zara Larsson - All the Time,6,,112,,949469,4180245,Zara Larsson,All the Time,zara larsson,all the time
The Weeknd - As You Are,14,,82,,393860,4180017,The Weeknd,As You Are,the weeknd,as you are
Sfera Ebbasta - Bottiglie Privè,4,,52,,1398364,4179730,Sfera Ebbasta,Bottiglie Privè,sfera ebbasta,bottiglie privè
Drake - BRIAN STEEL,2,,54,,2709561,4179581,Drake,BRIAN STEEL,drake,brian steel
Noah Cyrus - Again,8,,143,,626095,4178163,Noah Cyrus,Again,noah cyrus,again
Jeremih - Planez,17,,171,,275458,4177696,Jeremih,Planez,jeremih,planez
Post Malone - When I’m Alone,4,,84,,1471415,4173938,Post Malone,When I’m Alone,post malone,when i’m alone
Justin Timberlake - SoulMate,6,,68,,1137637,4168025,Justin Timberlake,SoulMate,justin timberlake,soulmate
Doja Cat - Freak,6,,136,,874103,4165049,Doja Cat,Freak,doja cat,freak
Wale - MY PYT,14,,183,,319326,4159633,Wale,MY PYT,wale,my pyt
Lil Skies - Bad Girls,5,,100,,1007391,4158628,Lil Skies,Bad Girls,lil skies,bad girls
H.E.R. - Come Through,5,,73,,1131356,4157610,H.E.R.,Come Through,h.e.r.,come through
Oasis - Live Forever,3,,150,,1414582,4151083,Oasis,Live Forever,oasis,live forever
Martin Garrix - Love Runs Out,5,,81,,1173305,4150793,Martin Garrix,Love Runs Out,martin garrix,love runs out
ENHYPEN - Bad Desire (With or Without You),3,,72,,1676489,4150682,ENHYPEN,Bad Desire (With or Without You),enhypen,bad desire (with or without you)
KYLE - Hey Julie!,7,,192,,621746,4146065,KYLE,Hey Julie!,kyle,hey julie!
Lana Del Rey - 13 Beaches,7,,89,,959084,4145702,Lana Del Rey,13 Beaches,lana del rey,13 beaches
Calvin Harris - Prayers Up,7,,63,,1017459,4142899,Calvin Harris,Prayers Up,calvin harris,prayers up
Ariana Grande - Just Look Up (From Don’t Look Up),4,,67,,1535256,4139760,Ariana Grande,Just Look Up (From Don’t Look Up),ariana grande,just look up (from don’t look up)
Khalid - Paradise,5,,91,,1215917,4138874,Khalid,Paradise,khalid,paradise
Justin Bieber - GLORY VOICE MEMO,2,,42,,2547421,4136429,Justin Bieber,GLORY VOICE MEMO,justin bieber,glory voice memo
Jack & Jack - Like That,19,,104,,268613,4134345,Jack & Jack,Like That,jack & jack,like that
Felipe Amorim - Putariazinha,5,,109,,911990,4130647,Felipe Amorim,Putariazinha,felipe amorim,putariazinha
ROSALÍA - Milionària,6,,128,,877269,4129988,ROSALÍA,Milionària,rosalía,milionària
Juice WRLD - HeMotions,5,,63,,1340524,4129125,Juice WRLD,HeMotions,juice wrld,hemotions
J Balvin - COMO UN BEBÉ,5,,81,,1224369,4122190,J Balvin,COMO UN BEBÉ,j balvin,como un bebé
Mac Miller - Hands,4,,81,,1578108,4117806,Mac Miller,Hands,mac miller,hands
Rvssian - Pablo,6,,98,,918194,4111227,Rvssian,Pablo,rvssian,pablo
Kendrick Lamar - The Blacker The Berry,10,,38,,621083,4107735,Kendrick Lamar,The Blacker The Berry,kendrick lamar,the blacker the berry
Danny Saucedo - Dör för dig,19,,166,,248887,4107183,Danny Saucedo,Dör för dig,danny saucedo,dör för dig
Anitta - Sei Que Tu Me Odeia,3,,115,,1522480,4103891,Anitta,Sei Que Tu Me Odeia,anitta,sei que tu me odeia
Duke Dumont - Ocean Drive,17,,162,,266948,4098747,Duke Dumont,Ocean Drive,duke dumont,ocean drive
Sfera Ebbasta - Mademoiselle,5,,66,,1204840,4095442,Sfera Ebbasta,Mademoiselle,sfera ebbasta,mademoiselle
Kendrick Lamar - Institutionalized,7,,24,,763991,4091759,Kendrick Lamar,Institutionalized,kendrick lamar,institutionalized
Eminem - Revival (Interlude),5,,61,,1255490,4091611,Eminem,Revival (Interlude),eminem,revival (interlude)
Fifth Harmony - The Life,13,,112,,413476,4091469,Fifth Harmony,The Life,fifth harmony,the life
TINI - Oye,6,,148,,721760,4090970,TINI,Oye,tini,oye
Eminem - Framed,5,,62,,1211404,4089415,Eminem,Framed,eminem,framed
Linkin Park - Crawling,6,,57,,1362895,4089287,Linkin Park,Crawling,linkin park,crawling
Avicii - You Make Me,4,,50,,1688974,4082212,Avicii,You Make Me,avicii,you make me
Katy Perry - Cry About It Later,5,,63,,1324575,4082102,Katy Perry,Cry About It Later,katy perry,cry about it later
P!nk - Beautiful Trauma,7,,106,,772634,4077294,P!nk,Beautiful Trauma,p!nk,beautiful trauma
TWICE - SCIENTIST,5,,177,,894300,4075774,TWICE,SCIENTIST,twice,scientist
Francesca Michielin - CHIAMAMI PER NOME,5,,91,,958710,4075563,Francesca Michielin,CHIAMAMI PER NOME,francesca michielin,chiamami per nome
One Direction - Best Song Ever,3,,100,,1507569,4075335,One Direction,Best Song Ever,one direction,best song ever
USHER - Hey Daddy (Daddy's Home),3,,107,,1465429,4074374,USHER,Hey Daddy (Daddy's Home),usher,hey daddy (daddy's home)
Fat Papi - FREAKED OUT,3,,89,,1495886,4073784,Fat Papi,FREAKED OUT,fat papi,freaked out
Gunna - 25k jacket,4,,66,,1516697,4072161,Gunna,25k jacket,gunna,25k jacket
Eminem - Head Honcho,2,,57,,2394952,4057195,Eminem,Head Honcho,eminem,head honcho
Jeremih - Tonight Belongs To U!,19,,105,,265943,4050496,Jeremih,Tonight Belongs To U!,jeremih,tonight belongs to u!
DJ Jonathan - El Farsante,9,,165,,496465,4049143,DJ Jonathan,El Farsante,dj jonathan,el farsante
Pop Smoke - Genius,4,,52,,1646444,4045589,Pop Smoke,Genius,pop smoke,genius
Drake - RAINING IN HOUSTON,2,,61,,2590926,4043367,Drake,RAINING IN HOUSTON,drake,raining in houston
Bing Crosby - Silver Bells,3,,140,,1447988,4041257,Bing Crosby,Silver Bells,bing crosby,silver bells
Capital Bra - Komm Komm,5,,81,,1125408,4036513,Capital Bra,Komm Komm,capital bra,komm komm
Big Sean - Pull Up N Wreck (With Metro Boomin),8,,165,,573350,4017925,Big Sean,Pull Up N Wreck (With Metro Boomin),big sean,pull up n wreck (with metro boomin)
Aloe Blacc - The Man,29,,129,,270915,4014195,Aloe Blacc,The Man,aloe blacc,the man
Justin Bieber - Take It Out On Me,4,,65,,1559829,4012879,Justin Bieber,Take It Out On Me,justin bieber,take it out on me
Lana Del Rey - White Dress,4,,62,,1565593,4012863,Lana Del Rey,White Dress,lana del rey,white dress
Oscar Maydon - Los Collares,4,,189,,1126288,4007896,Oscar Maydon,Los Collares,oscar maydon,los collares
Future - FOR A NUT,3,,36,,2046293,4006256,Future,FOR A NUT,future,for a nut
Julia Michaels - What A Time,6,,170,,700862,4005690,Julia Michaels,What A Time,julia michaels,what a time
DJ Snake - Enzo,6,,107,,944490,4003930,DJ Snake,Enzo,dj snake,enzo
Drake - Classic,2,,59,,2512188,3997810,Drake,Classic,drake,classic
Chance the Rapper - Do You Remember,5,,71,,1073277,3997046,Chance the Rapper,Do You Remember,chance the rapper,do you remember
BOYS JACK 2 - 2000 Excursion,2,,37,,2252692,3992028,BOYS JACK 2,2000 Excursion,boys jack 2,2000 excursion
Panic! At The Disco - Death Of A Bachelor,14,,120,,319434,3991028,Panic! At The Disco,Death Of A Bachelor,panic! at the disco,death of a bachelor
A$AP Rocky - Cocky,7,,131,,766193,3981514,A$AP Rocky,Cocky,a$ap rocky,cocky
Migos - Need It,6,,153,,794938,3973413,Migos,Need It,migos,need it
Eminem - In Your Head,5,,72,,1106963,3960598,Eminem,In Your Head,eminem,in your head
Zé Neto & Cristiano - Deu Moral - Ao Vivo,3,,149,,1484879,3959007,Zé Neto & Cristiano,Deu Moral - Ao Vivo,zé neto & cristiano,deu moral - ao vivo
187 Strassenbande - Extasy,5,,101,,1048231,3956700,187 Strassenbande,Extasy,187 strassenbande,extasy
Mora - MEDIA LUNA,2,,22,,2567207,3953289,Mora,MEDIA LUNA,mora,media luna
Feid - FERXXO 151,3,,121,,1430915,3951688,Feid,FERXXO 151,feid,ferxxo 151
Feid - BUBALU,3,,102,,1440686,3948454,Feid,BUBALU,feid,bubalu
Bonez MC - Risiko,6,,97,,906043,3945482,Bonez MC,Risiko,bonez mc,risiko
Central Cee - Truth In The Lies,3,,134,,1524842,3944984,Central Cee,Truth In The Lies,central cee,truth in the lies
J. Cole - SAFETY,2,,36,,2457769,3943260,J. Cole,SAFETY,j. cole,safety
Eminem - Offended,5,,66,,1147773,3941487,Eminem,Offended,eminem,offended
Kanye West - WHITE LINES,3,,143,,1420154,3941277,Kanye West,WHITE LINES,kanye west,white lines
DJ Khaled - Shining,8,,122,,666003,3937206,DJ Khaled,Shining,dj khaled,shining
Lana Del Rey - Love song,5,,87,,1103727,3935251,Lana Del Rey,Love song,lana del rey,love song
The Kid LAROI - TRAGIC,5,,100,,1046836,3929046,The Kid LAROI,TRAGIC,the kid laroi,tragic
Avicii - Heart Upon My Sleeve,5,,73,,1187998,3925187,Avicii,Heart Upon My Sleeve,avicii,heart upon my sleeve
T.I. - No Mediocre,26,,109,,190364,3923032,T.I.,No Mediocre,t.i.,no mediocre
manifest - Hileli,3,,155,,1436631,3921887,manifest,Hileli,manifest,hileli
Meek Mill - Litty,12,,182,,353902,3913037,Meek Mill,Litty,meek mill,litty
Lil Baby - Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),5,,56,,1412363,3912954,Lil Baby,Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),lil baby,off white vlone (lil baby & gunna feat. lil durk & nav)
Juice WRLD - Flaws And Sins,5,,86,,1122992,3910021,Juice WRLD,Flaws And Sins,juice wrld,flaws and sins
Khalid - Twenty One,5,,107,,1074542,3905293,Khalid,Twenty One,khalid,twenty one
Faris Adam - Stecu,3,,104,,1368512,3903191,Faris Adam,Stecu,faris adam,stecu
Shawn Mendes - Particular Taste,5,,72,,1160057,3902532,Shawn Mendes,Particular Taste,shawn mendes,particular taste
The Beatles - Yesterday - Remastered,12,,88,,645049,3899676,The Beatles,Yesterday - Remastered,the beatles,yesterday - remastered
Playboi Carti - WALK,2,,69,,2400892,3898092,Playboi Carti,WALK,playboi carti,walk
Big Sean - All Your Fault,16,,65,,397170,3895544,Big Sean,All Your Fault,big sean,all your fault
Taylor Swift - Carolina,3,,27,,2081884,3895542,Taylor Swift,Carolina,taylor swift,carolina
Emil Berg - Du swipa höger,19,,159,,223158,3891647,Emil Berg,Du swipa höger,emil berg,du swipa höger
Lil Nas X - LIFE AFTER SALEM,4,,71,,1433812,3888910,Lil Nas X,LIFE AFTER SALEM,lil nas x,life after salem
G-Eazy - Drifting,13,,97,,350209,3888764,G-Eazy,Drifting,g-eazy,drifting
Lil Uzi Vert - Lotus,3,,41,,1982696,3886780,Lil Uzi Vert,Lotus,lil uzi vert,lotus
Lil Peep - Awful Things,7,,129,,704441,3883813,Lil Peep,Awful Things,lil peep,awful things
Måneskin - HONEY (ARE U COMING?),3,,78,,1645565,3883558,Måneskin,HONEY (ARE U COMING?),måneskin,honey (are u coming?)
"Belly - Belly, The Weeknd - Die For It (ft. Nas)",4,,60,,1400991,3881821,Belly,"Belly, The Weeknd - Die For It (ft. Nas)",belly,"belly, the weeknd - die for it (feat. nas)"
Eminem - Need Me,5,,73,,1105857,3881237,Eminem,Need Me,eminem,need me
Sfera Ebbasta - Happy Birthday,5,,118,,975516,3880843,Sfera Ebbasta,Happy Birthday,sfera ebbasta,happy birthday
Lil Uzi Vert - UnFazed,6,,74,,1008252,3879951,Lil Uzi Vert,UnFazed,lil uzi vert,unfazed
Eminem - Castle,5,,80,,1074150,3878349,Eminem,Castle,eminem,castle
Sfera Ebbasta - Tik Tok,4,,58,,1602128,3877006,Sfera Ebbasta,Tik Tok,sfera ebbasta,tik tok
Cobra Starship - Never Been In Love,23,,114,,182650,3874225,Cobra Starship,Never Been In Love,cobra starship,never been in love
Playboi Carti - OVERLY,2,,74,,2319477,3872645,Playboi Carti,OVERLY,playboi carti,overly
Cordae - RNP,6,,152,,788976,3868891,Cordae,RNP,cordae,rnp
A Boogie Wit da Hoodie - Bleed,5,,93,,1003287,3867026,A Boogie Wit da Hoodie,Bleed,a boogie wit da hoodie,bleed
Shawn Mendes - Because I Had You,5,,76,,1124703,3866914,Shawn Mendes,Because I Had You,shawn mendes,because i had you
blink-182 - EDGING,3,,42,,1928421,3864226,blink-182,EDGING,blink-182,edging
Maroon 5 - Feelings,17,,148,,262581,3860874,Maroon 5,Feelings,maroon 5,feelings
Drake - Evil Ways,2,,35,,2369673,3859127,Drake,Evil Ways,drake,evil ways
Lil Baby - Out The Mud,6,,164,,704253,3858373,Lil Baby,Out The Mud,lil baby,out the mud
Michael Bublé - Frosty the Snowman,4,,161,,1678238,3857958,Michael Bublé,Frosty the Snowman,michael bublé,frosty the snowman
Kanye West - LAST BREATH,3,,154,,1370979,3856686,Kanye West,LAST BREATH,kanye west,last breath
Offset - Danger (Spider) (Offset & JID),3,,114,,1507182,3851220,Offset,Danger (Spider) (Offset & JID),offset,danger (spider) (offset & jid)
Blue Öyster Cult - (Don't Fear) The Reaper,4,,119,,1505919,3850567,Blue Öyster Cult,(Don't Fear) The Reaper,blue öyster cult,(don't fear) the reaper
