Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Title,Artist_clean,Title_clean
Taylor Swift - The Alchemy,31,,15,,10637831,82275420,Taylor Swift,The Alchemy,taylor swift,the alchemy
Laufey - Winter Wonderland - Spotify Singles Holiday,39,,23,,6912896,82228575,Laufey,Winter Wonderland - Spotify Singles Holiday,laufey,winter wonderland - spotify singles holiday
Alan Walker - Darkside,97,,63,,1054760,82163931,Alan Walker,Darkside,alan walker,darkside
Demi Lovato - Tell Me You Love Me,109,,65,,1078878,82101869,Demi Lovato,Tell Me You Love Me,demi lovato,tell me you love me
Rich The Kid - New Freezer,125,,81,,911488,82074039,Rich The Kid,New Freezer,rich the kid,new freezer
Peso Pluma - LA PEOPLE,62,,88,,1653542,82041259,Peso Pluma,LA PEOPLE,peso pluma,la people
Jesse & Joy - 3 A.M.,129,,102,,745526,81995004,Jesse & Joy,3 A.M.,jesse & joy,3 a.m.
Miley Cyrus - Slide Away,66,,29,,1860476,81993232,Miley Cyrus,Slide Away,miley cyrus,slide away
LE SSERAFIM - ICONIC BY MISTAKE,33,,18,,3172230,81964379,LE SSERAFIM,ICONIC BY MISTAKE,le sserafim,iconic by mistake
Michael Jackson - The Way You Make Me Feel - 2012 Remaster,52,,62,,1965555,81904594,Michael Jackson,The Way You Make Me Feel - 2012 Remaster,michael jackson,the way you make me feel - 2012 remaster
"Sevdaliza - Ride Or Die, Pt. 2",50,,28,,3051561,81868723,Sevdaliza,"Ride Or Die, Pt. 2",sevdaliza,"ride or die, pt. 2"
Billie Eilish - SKINNY,32,1.0,7,,7969974,81820465,Billie Eilish,SKINNY,billie eilish,skinny
The Chainsmokers - Setting Fires,106,,40,,1130652,81794886,The Chainsmokers,Setting Fires,the chainsmokers,setting fires
T-Wayne - Nasty Freestyle,145,,19,,1093343,81732397,T-Wayne,Nasty Freestyle,t-wayne,nasty freestyle
Cashmere Cat - Trust Nobody,122,,54,,922809,81680955,Cashmere Cat,Trust Nobody,cashmere cat,trust nobody
Lewis Capaldi - Forget Me,69,,46,,1782486,81676000,Lewis Capaldi,Forget Me,lewis capaldi,forget me
Shubh - Cheques,63,,73,,1552667,81594221,Shubh,Cheques,shubh,cheques
Justin Quiles - PAM,110,,101,,865446,81552883,Justin Quiles,PAM,justin quiles,pam
Nick Jonas - Jealous,194,,28,,622937,81531172,Nick Jonas,Jealous,nick jonas,jealous
"Brett Eldredge - Baby, It's Cold Outside",63,,33,,3034953,81513209,Brett Eldredge,"Baby, It's Cold Outside",brett eldredge,"baby, it's cold outside"
aespa - Whiplash,47,,33,,2501668,81480054,aespa,Whiplash,aespa,whiplash
Shawn Mendes - When You're Gone,62,1.0,10,,2715833,81476535,Shawn Mendes,When You're Gone,shawn mendes,when you're gone
Fetty Wap - My Way,205,,44,,662215,81429642,Fetty Wap,My Way,fetty wap,my way
Nat King Cole - Joy To The World,52,,38,,3766240,81400519,Nat King Cole,Joy To The World,nat king cole,joy to the world
Migos - Narcos,73,,15,,2346234,81325353,Migos,Narcos,migos,narcos
ROSÉ - On The Ground,56,4.0,8,,3262615,81180398,ROSÉ,On The Ground,rosé,on the ground
Lady Gaga - Judas,54,,34,,2317454,81145120,Lady Gaga,Judas,lady gaga,judas
Meghan Trainor - I'll Be Home,68,,49,,3770948,80978179,Meghan Trainor,I'll Be Home,meghan trainor,i'll be home
Madcon - Don't Worry,224,,52,,548393,80902711,Madcon,Don't Worry,madcon,don't worry
Katy Perry - Bon Appétit,99,,38,,1633861,80892771,Katy Perry,Bon Appétit,katy perry,bon appétit
Leona Lewis - One More Sleep,62,,47,,3041950,80793108,Leona Lewis,One More Sleep,leona lewis,one more sleep
Nilo - Fui Mlk,56,,82,,1901918,80578447,Nilo,Fui Mlk,nilo,fui mlk
"Bizarrap - Nicky Jam: Bzrp Music Sessions, Vol. 41",53,,15,,3209881,80323165,Bizarrap,"Nicky Jam: Bzrp Music Sessions, Vol. 41",bizarrap,"nicky jam: bzrp music sessions, vol. 41"
"Ram Sampath - Sajni (From ""Laapataa Ladies"")",56,,84,,1620639,80293026,Ram Sampath,"Sajni (From ""Laapataa Ladies"")",ram sampath,"sajni (from ""laapataa ladies"")"
Taylor Swift - Fresh Out The Slammer,28,1.0,10,,12758182,80264622,Taylor Swift,Fresh Out The Slammer,taylor swift,fresh out the slammer
Jason Derulo - Wiggle,227,,14,,713067,80244630,Jason Derulo,Wiggle,jason derulo,wiggle
Lady Gaga - Disease,44,,12,,4452496,80223820,Lady Gaga,Disease,lady gaga,disease
Bing Crosby - Mele Kalikimaka (Merry Christmas),41,,32,,5642125,80206993,Bing Crosby,Mele Kalikimaka (Merry Christmas),bing crosby,mele kalikimaka (merry christmas)
Ed Sheeran - How Would You Feel (Paean),71,,14,,2887447,80080989,Ed Sheeran,How Would You Feel (Paean),ed sheeran,how would you feel (paean)
Drake - Push Ups,29,,22,,5635551,80064485,Drake,Push Ups,drake,push ups
Måneskin - SUPERMODEL,78,,84,,1400153,79976776,Måneskin,SUPERMODEL,måneskin,supermodel
Hugo & Guilherme - Mal Feito - Ao Vivo,82,,47,,1492287,79716055,Hugo & Guilherme,Mal Feito - Ao Vivo,hugo & guilherme,mal feito - ao vivo
OneRepublic - No Vacancy,107,,57,,1111379,79635841,OneRepublic,No Vacancy,onerepublic,no vacancy
Meek Mill - All Eyes on You,170,,34,,771164,79596160,Meek Mill,All Eyes on You,meek mill,all eyes on you
Creedence Clearwater Revival - Fortunate Son,62,,71,,1681564,79501028,Creedence Clearwater Revival,Fortunate Son,creedence clearwater revival,fortunate son
Olivia Rodrigo - hope ur ok,58,,18,,3519865,79464095,Olivia Rodrigo,hope ur ok,olivia rodrigo,hope ur ok
Matt Simons - Catch & Release - Deepend Remix,205,,79,,560005,79445333,Matt Simons,Catch & Release - Deepend Remix,matt simons,catch & release - deepend remix
Eden Muñoz - Chale,84,,59,,1269504,79325219,Eden Muñoz,Chale,eden muñoz,chale
ZAYN - Let Me,78,,28,,1941764,79272014,ZAYN,Let Me,zayn,let me
Olivia Rodrigo - maggots for brains,33,4.0,5,,6386161,79271229,Olivia Rodrigo,maggots for brains,olivia rodrigo,maggots for brains
LE SSERAFIM - EASY,51,,52,,2122349,79217394,LE SSERAFIM,EASY,le sserafim,easy
Aerosmith - Dream On,71,,96,,1261656,78998943,Aerosmith,Dream On,aerosmith,dream on
Omarion - Post to Be,218,,54,,560972,78909797,Omarion,Post to Be,omarion,post to be
Clean Bandit - Tick Tock,84,,82,,1120181,78727633,Clean Bandit,Tick Tock,clean bandit,tick tock
Bad Bunny - PIToRRO DE COCO,39,,24,,3295196,78374633,Bad Bunny,PIToRRO DE COCO,bad bunny,pitorro de coco
USHER - I Don't Mind,185,,30,,657292,78268272,USHER,I Don't Mind,usher,i don't mind
Peso Pluma - Rompe La Dompe,48,,22,,2646525,78261546,Peso Pluma,Rompe La Dompe,peso pluma,rompe la dompe
Skrillex - Would You Ever,95,,54,,1194338,78161554,Skrillex,Would You Ever,skrillex,would you ever
Jason Derulo - Love Not War (The Tampa Beat),93,,101,,1155513,78095643,Jason Derulo,Love Not War (The Tampa Beat),jason derulo,love not war (the tampa beat)
