Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Title,Artist_clean,Title_clean,Unnamed: 0.1,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,artists_clean,track_name_clean
Kenny Rogers - The Gambler,2,,84,,1091026,1716388,Kenny Rogers,The Gambler,kenny rogers,the gambler,19608.0,5KqldkCunQ2rWxruMEtGh0,Kenny Rogers,The Gambler,The Gambler,75.0,214880.0,False,0.671,0.501,4.0,-13.119,1.0,0.0594,0.342,0.0,0.194,0.86,87.04,4.0,country,kenny rogers,the gambler
Nirvana - Smells Like Teen Spirit - Remastered 2021,2,,171,,898695,1695714,Nirvana,Smells Like Teen Spirit - Remastered 2021,nirvana,smells like teen spirit - remastered 2021,44751.0,4TMhakloPMPS84lNHNTSa3,Nirvana,Nevermind (30th Anniversary Super Deluxe),Smells Like Teen Spirit - Remastered 2021,49.0,300893.0,False,0.489,0.918,1.0,-4.502,1.0,0.0554,3.53e-05,7.64e-05,0.0908,0.691,116.731,4.0,grunge,nirvana,smells like teen spirit - remastered 2021
TOMORROW X TOGETHER - Anti-Romantic,2,,127,,859051,1675081,TOMORROW X TOGETHER,Anti-Romantic,tomorrow x together,anti-romantic,65211.0,44tTqUi3xi7E28QLzHVdUA,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,Anti-Romantic,72.0,215188.0,False,0.641,0.489,0.0,-8.668,0.0,0.11,0.0509,0.0,0.071,0.206,142.977,4.0,k-pop,tomorrow x together,anti-romantic
Frank Ocean - Solo,5,,163,,362800,1661812,Frank Ocean,Solo,frank ocean,solo,103658.0,35xSkNIXi504fcEwz9USRB,Frank Ocean,Blonde,Solo,69.0,257380.0,True,0.469,0.289,5.0,-10.625,0.0,0.0366,0.85,2.48e-06,0.161,0.258,133.805,4.0,soul,frank ocean,solo
Arctic Monkeys - Sculptures Of Anything Goes,1,,75,,1659364,1659364,Arctic Monkeys,Sculptures Of Anything Goes,arctic monkeys,sculptures of anything goes,38030.0,5hljqZrl0h7RcIhUnOPuve,Arctic Monkeys,The Car,Sculptures Of Anything Goes,0.0,239151.0,False,0.591,0.309,4.0,-11.087,0.0,0.0287,0.704,0.0122,0.102,0.257,71.573,4.0,garage,arctic monkeys,sculptures of anything goes
"Sam Smith - River - Recorded At RAK Studios, London",2,,126,,930083,1656111,Sam Smith,"River - Recorded At RAK Studios, London",sam smith,"river - recorded at rak studios, london",81842.0,67l8nACchnc7Mq9LP6XqNz,Sam Smith,Weihnachtspop 2022,"River - Recorded At RAK Studios, London",0.0,208573.0,False,0.45,0.181,10.0,-11.417,1.0,0.0406,0.896,1.09e-06,0.11,0.196,115.443,4.0,pop,sam smith,"river - recorded at rak studios, london"
j-hope - Pandora's Box,1,,49,,1655494,1655494,j-hope,Pandora's Box,j-hope,pandora's box,65577.0,2On611HXKQAbaYkuc4NQAm,j-hope,Jack In The Box,Pandora's Box,68.0,156291.0,False,0.785,0.807,0.0,-3.877,1.0,0.178,0.198,0.0,0.326,0.228,96.981,4.0,k-pop,j-hope,pandora's box
The Strokes - Brooklyn Bridge To Chorus,2,,86,,962741,1633955,The Strokes,Brooklyn Bridge To Chorus,the strokes,brooklyn bridge to chorus,38131.0,2mDYYGaGd9uXKkK2YhDA3i,The Strokes,The New Abnormal,Brooklyn Bridge To Chorus,64.0,235946.0,False,0.628,0.571,0.0,-3.897,1.0,0.0628,0.00602,9.21e-05,0.0833,0.467,119.899,4.0,garage,the strokes,brooklyn bridge to chorus
The 1975 - Love It If We Made It,2,,74,,1023478,1626500,The 1975,Love It If We Made It,the 1975,love it if we made it,2602.0,6WmIyn2fx1PKQ0XDpYj4VR,The 1975,A Brief Inquiry Into Online Relationships,Love It If We Made It,69.0,252925.0,True,0.472,0.745,4.0,-5.297,1.0,0.0356,0.000607,2.74e-05,0.0957,0.0631,180.06,4.0,alt-rock,the 1975,love it if we made it
Audioslave - Like a Stone,2,,86,,903592,1624604,Audioslave,Like a Stone,audioslave,like a stone,2852.0,3YuaBvuZqcwN3CEAyyoaei,Audioslave,Audioslave,Like a Stone,78.0,293960.0,False,0.614,0.568,7.0,-5.477,0.0,0.0276,0.00797,0.0,0.0997,0.516,107.849,4.0,alt-rock,audioslave,like a stone
Bill Withers - Lovely Day,2,,102,,853553,1622649,Bill Withers,Lovely Day,bill withers,lovely day,37557.0,0bRXwKfigvpKZUurwqAlEh,Bill Withers,Menagerie,Lovely Day,76.0,254560.0,False,0.692,0.651,9.0,-8.267,1.0,0.0324,0.292,0.00241,0.105,0.706,97.923,4.0,funk,bill withers,lovely day
The Drifters - White Christmas,1,,158,,1620758,1620758,The Drifters,White Christmas,the drifters,white christmas,87289.0,7l9cCg3EBqVfBikbc21Kb0,The Drifters,Christmas Only: The Timeless Classic Collection,White Christmas,0.0,158413.0,False,0.555,0.213,8.0,-9.262,1.0,0.0449,0.939,5.33e-05,0.113,0.498,125.126,4.0,r-n-b,the drifters,white christmas
Metallica - Enter Sandman,2,,195,,807879,1608053,Metallica,Enter Sandman,metallica,enter sandman,47012.0,5sICkBXVmaCQk5aISGR3x1,Metallica,Metallica,Enter Sandman,81.0,331266.0,False,0.577,0.828,6.0,-8.691,0.0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,4.0,hard-rock,metallica,enter sandman
ENHYPEN - Tamed-Dashed,2,,149,,821876,1569357,ENHYPEN,Tamed-Dashed,enhypen,tamed-dashed,5034.0,1zoyteFQmeUUqyOl2Xznpy,ENHYPEN,DIMENSION : DILEMMA,Tamed-Dashed,70.0,196170.0,False,0.568,0.809,11.0,-3.869,0.0,0.0517,0.000253,3.33e-05,0.151,0.709,155.029,4.0,anime,enhypen,tamed-dashed
